Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
12,566	-40,008		
12,578	-25,746		
12,589	-17,411		
12,6	-12,966		
12,611	-20,189		
12,621	-28,71		
12,633	-18,893		
12,645	-16,855		
12,655	-18,522		
12,666	-17,411		
12,678	-29,265		
12,691	-29,821		
12,704	-41,305		
12,716	-40,008		
12,726	-27,598		
12,738	-44,083		
12,75	-45,75		
12,762	-44,268		
12,775	-33,34		
12,789	-23,523		
12,8	-21,486		
12,812	-11,113		
12,822	-11,113		
12,834	-15,744		
12,845	-16,485		
12,857	-21,301		
12,867	-25,19		
12,879	-28,154		
12,889	-31,303		
12,901	-20,93		
12,912	-16,3		
12,924	-23,523		
12,934	-25,005		
12,945	-40,379		
12,957	-55,937		
12,968	-52,974		
12,979	-51,863		
12,991	-46,491		
13,002	-34,266		
13,015	-28,895		
13,028	-21,856		
13,04	-22,227		
13,052	-13,521		
13,063	-5,557		
13,075	-10,928		
13,087	-28,895		
13,101	-36,859		
13,114	-43,713		
13,125	-36,119		
13,136	-22,227		
13,148	-18,337		
13,159	-21,301		
13,17	-20,93		
13,181	-20,56		
13,194	-31,858		
13,207	-44,639		
13,219	-45,195		
13,23	-40,379		
13,242	-34,822		
13,253	-27,969		
13,264	-25,931		
13,275	-23,523		
13,287	-16,67		
13,299	-22,412		
13,309	-18,522		
13,322	-10,187		
13,335	-25,005		
13,348	-39,453		
13,363	-46,862		
13,374	-42,787		
13,387	-43,342		
13,402	-40,193		
13,416	-25,746		
13,43	-22,227		
13,443	-31,488		
13,456	-44,268		
13,469	-43,528		
13,48	-43,528		
13,492	-44,639		
13,503	-39,638		
13,516	-22,782		
13,53	-16,3		
13,541	-36,304		
13,551	-49,084		
13,562	-45,195		
13,572	-39,638		
13,585	-39,082		
13,597	-27,969		
13,607	-22,968		
13,619	-25,19		
13,63	-28,895		
13,643	-36,674		
13,655	-29,821		
13,667	-30,932		
13,678	-26,117		
13,691	-18,152		
13,704	-22,227		
13,716	-34,452		
13,727	-49,825		
13,739	-47,232		
13,749	-41,86		
13,764	-43,898		
13,777	-34,266		
13,789	-20,004		
13,8	-18,152		
13,813	-32,229		
13,825	-35,192		
13,835	-26,302		
13,848	-26,672		
13,86	-19,448		
13,871	-27,413		
13,883	-41,12		
13,894	-44,454		
13,905	-41,12		
13,916	-32,97		
13,927	-30,747		
13,938	-36,489		
13,949	-32,97		
13,961	-27,228		
13,975	-24,82		
13,988	-26,302		
14,001	-22,412		
14,014	-13,151		
14,025	-14,818		
14,037	-28,154		
14,049	-31,673		
14,059	-21,301		
14,071	-32,599		
14,082	-45,38		
14,095	-51,122		
14,107	-28,339		
14,118	-26,487		
14,13	-34,081		
14,142	-32,414		
14,153	-29,08		
14,165	-27,784		
14,178	-22,782		
14,193	-19,819		
14,204	-21,856		
14,216	-27,784		
14,229	-25,19		
14,243	-27,784		
14,255	-33,34		
14,27	-37,6		
14,283	-40,749		
14,296	-33,896		
14,307	-24,449		
14,323	-31,488		
14,337	-38,897		
14,351	-31,673		
14,364	-33,711		
14,377	-34,452		
14,39	-31,673		
14,403	-33,896		
14,416	-44,639		
14,43	-45,38		
14,442	-35,007		
14,454	-35,192		
14,464	-32,599		
14,476	-32,599		
14,488	-31,673		
14,498	-36,859		
14,511	-40,749		
14,521	-45,75		
14,534	-35,378		
14,547	-20,56		
14,56	-3,89		
14,573	-11,113		
14,586	-15,374		
14,599	-20,93		
14,611	-17,411		
14,622	-8,15		
14,634	-12,595		
14,647	-15,003		
14,661	-22,412		
14,674	-23,338		
14,687	-29,265		
14,7	-34,822		
14,711	-27,784		
14,723	-24,635		
14,733	-21,856		
14,745	-25,931		
14,757	-27,413		
14,771	-25,931		
14,784	-19,263		
14,798	-26,487		
14,812	-38,156		
14,825	-39,267		
14,837	-38,526		
14,849	-25,746		
14,861	-22,782		
14,872	-7,038		
14,883	-7,409		
14,894	-1,111		
14,907	-12,225		
14,919	-26,672		
14,934	-19,819		
14,947	-14,077		
14,96	-24,264		
14,973	-41,12		
14,985	-36,674		
14,997	-34,637		
15,008	-43,342		
15,02	-47,047		
15,03	-47,417		
15,041	-39,267		
15,052	-28,524		
15,063	-16,67		
15,075	-29,636		
15,086	-36,304		
15,099	-32,044		
15,112	-32,044		
15,123	-31,303		
15,135	-31,303		
15,146	-41,675		
15,158	-46,306		
15,171	-43,342		
15,184	-33,525		
15,197	-34,266		
15,211	-37,045		
15,223	-33,155		
15,234	-28,524		
15,245	-23,894		
15,258	-29,265		
15,269	-22,782		
15,28	-15,374		
15,291	-21,115		
15,303	-28,895		
15,314	-34,452		
15,325	-37,971		
15,336	-35,007		
15,348	-44,824		
15,361	-47,417		
15,373	-30,747		
15,384	-24,264		
15,395	-36,674		
15,407	-30,562		
15,418	-14,818		
15,431	-13,521		
15,444	-16,3		
15,456	-17,967		
15,469	-16,855		
15,48	-16,855		
15,492	-25,746		
15,505	-30,562		
15,518	-38,526		
15,529	-42,046		
15,54	-44,639		
15,551	-45,565		
15,562	-39,823		
15,572	-43,342		
15,584	-37,786		
15,595	-32,044		
15,608	-47,602		
15,62	-47,788		
15,633	-45,75		
15,646	-45,009		
15,661	-36,304		
15,675	-42,416		
15,689	-34,452		
15,701	-26,857		
15,715	-27,784		
15,727	-33,525		
15,741	-30,006		
15,754	-29,451		
15,767	-32,97		
15,78	-23,523		
15,792	-19,263		
15,803	-25,931		
15,815	-17,411		
15,826	-6,298		
