Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
9,388	85,388		
9,404	72,793		
9,417	68,162		
9,43	62,235		
9,443	62,791		
9,456	70,57		
9,468	75,942		
9,482	72,793		
9,492	60,939		
9,504	68,347		
9,518	64,458		
9,53	62,976		
9,543	74,275		
9,557	84,647		
9,569	84,647		
9,582	85,944		
9,595	89,463		
9,608	90,389		
9,621	90,574		
9,633	90,204		
9,646	96,872		
9,659	93,167		
9,672	90,945		
9,685	90,574		
9,698	80,387		
9,709	73,904		
9,72	68,162		
9,732	77,053		
9,743	86,499		
9,754	81,128		
9,765	77,979		
9,776	77,053		
9,79	87,425		
9,802	86,314		
9,816	88,352		
9,829	82,98		
9,841	89,648		
9,854	99,28		
9,864	100,762		
9,877	87,055		
9,892	72,608		
9,904	69,088		
9,916	78,905		
9,928	87,981		
9,94	87,981		
9,953	92,982		
9,963	95,761		
9,976	92,241		
9,986	88,907		
9,997	81,869		
10,009	77,609		
10,021	87,981		
10,032	94,834		
10,043	96,687		
10,055	112,431		
10,067	107,8		
10,079	103,54		
10,091	105,577		
10,101	112,245		
10,114	112,986		
10,127	98,354		
10,138	90,204		
10,15	84,832		
10,162	85,018		
10,174	95,02		
10,187	107,059		
10,198	96,316		
10,21	96,131		
10,223	103,54		
10,235	103,54		
10,248	107,8		
10,26	100,391		
10,271	90,759		
10,284	92,612		
10,295	95,39		
10,309	89,463		
10,323	101,688		
10,336	120,951		
10,349	122,433		
10,361	109,467		
10,374	120,766		
10,387	116,32		
10,402	112,986		
10,412	122,618		
10,424	117,061		
10,435	122,988		
10,447	127,434		
10,459	121,136		
10,472	118,913		
10,483	133,546		
10,495	136,51		
10,506	127,434		
10,517	112,06		
10,53	97,428		
10,542	102,429		
10,555	113,727		
10,568	113,542		
10,581	108,17		
10,592	113,172		
10,603	126,137		
10,614	126,137		
10,627	121,507		
10,639	121,136		
10,652	123,359		
10,665	131,509		
10,677	133,176		
10,689	138,362		
10,7	139,103		
10,713	125,767		
10,726	119,099		
10,738	114,653		
10,752	118,173		
10,764	112,986		
10,777	107,8		
10,789	120,766		
10,8	127,989		
10,811	131,323		
10,822	140,955		
10,834	131,138		
10,845	133,731		
10,857	147,438		
10,867	149,661		
10,88	140,214		
10,893	140,214		
10,904	142,807		
10,915	147,808		
10,927	138,362		
10,937	127,804		
10,949	114,839		
10,96	108,541		
10,972	110,949		
10,983	113,542		
10,995	114,468		
11,005	129,656		
11,018	154,662		
11,028	155,402		
11,041	145,586		
11,053	148,92		
11,065	144,659		
11,076	125,026		
11,088	115,579		
11,1	118,913		
11,111	113,542		
11,124	114,653		
11,137	125,581		
11,15	133,546		
11,163	139,844		
11,175	141,881		
11,187	152,254		
11,2	151,513		
11,215	147,253		
11,227	139,103		
11,241	130,768		
11,254	147,808		
11,267	150,216		
11,28	154,662		
11,294	153,18		
11,306	157,069		
11,318	151,698		
11,33	139,658		
11,342	133,731		
11,355	131,138		
11,368	131,323		
11,382	125,211		
11,395	123,544		
11,407	141,325		
11,421	148,92		
11,434	150,401		
11,447	144,845		
11,458	145,956		
11,469	146,882		
11,482	147,438		
11,495	151,883		
11,508	147,623		
11,52	162,256		
11,533	165,034		
11,544	165,034		
11,555	148,549		
11,566	141,14		
11,578	143,548		
11,59	150,401		
11,603	160,218		
11,617	148,92		
11,63	140,399		
11,642	148,92		
11,655	153,18		
11,668	149,846		
11,679	162,256		
11,69	163,367		
11,703	167,257		
11,716	168,368		
11,73	164,664		
11,742	177,814		
11,755	185,964		
11,768	170,776		
11,782	169,479		
11,796	159,848		
11,809	161,515		
11,822	161,885		
11,833	159,107		
11,846	157,81		
11,859	155,773		
11,871	155,773		
11,884	149,105		
11,897	152,439		
11,909	167,627		
11,923	161,33		
11,934	155,958		
11,945	153,55		
11,957	149,29		
11,968	151,328		
11,979	154,847		
11,991	172,999		
12,002	179,667		
12,014	183,556		
12,027	190,965		
12,037	190,41		
12,049	185,223		
12,059	166,516		
12,072	159,663		
12,084	166,701		
12,097	180,408		
12,11	184,112		
12,121	190,224		
12,133	185,223		
12,144	189,113		
12,157	182,63		
12,17	185,223		
12,184	194,114		
12,198	183,742		
12,211	183,742		
12,223	191,336		
12,236	196,152		
12,248	182,26		
12,263	174,11		
12,276	170,406		
12,289	170,22		
12,301	182,445		
12,312	192,818		
12,324	203,19		
12,338	203,931		
12,35	200,412		
12,361	201,708		
12,373	215,044		
12,384	216,526		
12,396	208,191		
12,409	195,966		
12,421	191,336		
12,432	201,153		
12,445	189,298		
12,458	198,745		
12,471	209,117		
12,484	205,042		
12,496	191,151		
12,508	191,706		
12,52	192,632		
12,531	204,487		
12,543	204,487		
12,555	210,043		
12,566	206,895		
12,579	222,639		
12,595	223,379		
12,608	213,007		
12,62	202,079		
12,633	200,597		
12,645	198,56		
12,657	206,154		
12,669	208,932		
12,681	219,119		
12,692	217,082		
12,704	206,895		
12,718	212,266		
12,73	220,045		
12,744	230,974		
12,759	237,271		
12,772	241,346		
12,784	244,495		
12,796	238,753		
12,806	243,939		
12,817	248,014		
12,829	246,718		
12,842	252,645		
12,855	241,902		
12,869	241,902		
12,882	226,158		
12,893	221,898		
12,905	245,236		
12,915	245,791		
12,928	252,274		
12,941	254,867		
12,953	251,533		
12,966	266,351		
12,983	267,092		
12,995	261,721		
13,008	256,349		
13,021	254,867		
13,032	268,944		
13,043	275,057		
13,056	276,909		
13,068	276,909		
13,079	281,354		
13,092	283,207		
13,103	277,465		
13,116	269,685		
13,127	267,277		
13,139	276,539		
13,15	280,428		
13,162	273,76		
13,175	281,169		
13,189	285,615		
13,201	282,095		
13,213	287,096		
