Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
33,004	41,49		
33,017	45,935		
33,029	42,601		
33,041	38,897		
33,053	29,636		
33,065	26,672		
33,075	42,416		
33,086	47,417		
33,099	42,787		
33,111	45,009		
33,124	44,454		
33,139	47,602		
33,151	44,639		
33,164	37,971		
33,177	35,748		
33,19	36,859		
33,2	60,383		
33,212	51,863		
33,223	45,75		
33,234	44,268		
33,245	44,268		
33,259	41,12		
33,272	47,788		
33,285	39,823		
33,297	32,229		
33,31	48,529		
33,323	40,564		
33,337	23,894		
33,349	36,489		
33,362	50,381		
33,376	49,455		
33,389	46,491		
33,4	42,231		
33,411	41,305		
33,423	38,897		
33,434	34,822		
33,446	38,526		
33,457	57,049		
33,469	49,084		
33,483	47,047		
33,495	49,455		
33,508	51,677		
33,522	44,083		
33,532	34,266		
33,544	26,857		
33,555	23,338		
33,566	35,748		
33,578	35,748		
33,588	55,567		
33,6	56,678		
33,612	43,898		
33,624	35,192		
33,635	32,599		
33,646	37,045		
33,657	37,971		
33,667	42,231		
33,678	47,973		
33,69	55,752		
33,701	54,456		
33,712	46,676		
33,724	35,563		
33,736	34,081		
33,749	35,192		
33,761	19,078		
33,772	20,93		
33,785	40,008		
33,795	46,306		
33,807	52,603		
33,819	48,714		
33,831	51,122		
33,842	62,42		
33,855	56,123		
33,867	50,566		
33,88	56,678		
33,893	45,38		
33,906	45,38		
33,92	32,044		
33,933	30,562		
33,945	48,529		
33,958	63,902		
33,971	57,049		
33,983	51,122		
33,997	52,603		
34,01	48,343		
34,023	54,826		
34,033	52,603		
34,045	51,863		
34,056	52,789		
34,067	50,01		
34,078	45,75		
34,089	44,454		
34,099	40,564		
34,108	49,825		
34,119	51,492		
34,13	51,307		
34,141	54,456		
34,153	58,531		
34,164	44,824		
34,175	46,862		
34,187	55,937		
34,199	48,714		
34,211	38,897		
34,222	31,303		
34,233	27,228		
34,245	27,228		
34,257	32,229		
34,27	48,343		
34,282	54,27		
34,295	51,492		
34,309	45,195		
34,321	58,345		
34,334	50,566		
34,345	43,898		
34,356	45,38		
34,37	56,123		
34,382	52,603		
34,397	35,748		
34,41	34,081		
34,423	42,416		
34,436	55,011		
34,449	54,27		
34,461	50,936		
34,474	47,602		
34,486	51,122		
34,498	45,75		
34,509	35,563		
34,52	28,154		
34,532	26,857		
34,545	30,006		
34,557	42,972		
34,569	42,972		
34,581	47,417		
34,594	41,12		
34,605	45,38		
34,62	46,121		
34,633	59,271		
34,647	48,529		
34,66	53,9		
